0,1,2,3,4,5,6,7,8,9,10
soda,fruit/vegetable juice,,,,,,,,,
rolls/buns,other vegetables,newspapers,,,,,,,,
sausage,root vegetables,,,,,,,,,
whole milk,pot plants,,,,,,,,,
curd,softener,,,,,,,,,
beef,herbs,oil,,,,,,,,
shopping bags,frozen meals,,,,,,,,,
chocolate,oil,domestic eggs,fruit/vegetable juice,frozen vegetables,rolls/buns,,,,,
frankfurter,citrus fruit,margarine,,,,,,,,
other vegetables,specialty bar,long life bakery product,,,,,,,,
canned beer,pork,processed cheese,root vegetables,snack products,sugar,,,,,
chicken,whole milk,canned beer,,,,,,,,
pork,cream cheese ,yogurt,,,,,,,,
bottled water,soda,,,,,,,,,
pasta,yogurt,specialty bar,,,,,,,,
cat food,pet care,oil,,,,,,,,
rolls/buns,bottled beer,dishes,pip fruit,whole milk,hard cheese,brown bread,soda,,,
yogurt,photo/film,,,,,,,,,
liver loaf,pip fruit,,,,,,,,,
cream cheese ,misc. beverages,,,,,,,,,
turkey,other vegetables,,,,,,,,,
onions,brown bread,domestic eggs,,,,,,,,
whole milk,whole milk,sauces,,,,,,,,
condensed milk,pork,whole milk,pastry,,,,,,,
pork,hard cheese,,,,,,,,,
bottled beer,soda,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
napkins,pastry,whole milk,,,,,,,,
frankfurter,whipped/sour cream,cat food,,,,,,,,
sausage,white bread,,,,,,,,,
root vegetables,soft cheese,,,,,,,,,
onions,curd,,,,,,,,,
other vegetables,shopping bags,,,,,,,,,
tropical fruit,pork,photo/film,hard cheese,,,,,,,
citrus fruit,sweet spreads,,,,,,,,,
root vegetables,root vegetables,,,,,,,,,
rolls/buns,whipped/sour cream,,,,,,,,,
other vegetables,shopping bags,,,,,,,,,
whole milk,domestic eggs,,,,,,,,,
canned beer,ice cream,,,,,,,,,
root vegetables,chocolate marshmallow,,,,,,,,,
spread cheese,pork,,,,,,,,,
meat,sliced cheese,,,,,,,,,
sausage,shopping bags,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
whole milk,beef,whipped/sour cream,whole milk,curd cheese,,,,,,
rolls/buns,onions,butter,whole milk,rolls/buns,,,,,,
hygiene articles,cling film/bags,,,,,,,,,
sausage,beverages,,,,,,,,,
rolls/buns,newspapers,,,,,,,,,
whole milk,chocolate,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
cat food,tropical fruit,whipped/sour cream,,,,,,,,
pet care,whole milk,curd,frozen vegetables,,,,,,,
whole milk,hard cheese,candles,bottled beer,shopping bags,jam,,,,,
house keeping products,frozen vegetables,,,,,,,,,
sausage,newspapers,salty snack,soda,,,,,,,
hamburger meat,soft cheese,pickled vegetables,,,,,,,,
pip fruit,processed cheese,yogurt,,,,,,,,
berries,beverages,,,,,,,,,
pastry,processed cheese,,,,,,,,,
pip fruit,bottled water,,,,,,,,,
pasta,soda,,,,,,,,,
sausage,whole milk,,,,,,,,,
photo/film,citrus fruit,chewing gum,,,,,,,,
whole milk,tropical fruit,,,,,,,,,
ice cream,yogurt,,,,,,,,,
frankfurter,coffee,,,,,,,,,
canned beer,soda,candles,pickled vegetables,,,,,,,
dessert,photo/film,,,,,,,,,
bottled water,canned beer,,,,,,,,,
berries,chocolate marshmallow,,,,,,,,,
white bread,salty snack,,,,,,,,,
soda,canned beer,,,,,,,,,
bottled beer,whole milk,,,,,,,,,
beef,long life bakery product,,,,,,,,,
cream cheese ,other vegetables,,,,,,,,,
sausage,whole milk,yogurt,,,,,,,,
whole milk,fruit/vegetable juice,shopping bags,shopping bags,,,,,,,
ham,canned fruit,,,,,,,,,
grapes,onions,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
tropical fruit,brown bread,,,,,,,,,
condensed milk,margarine,,,,,,,,,
specialty chocolate,domestic eggs,,,,,,,,,
dessert,whole milk,whole milk,domestic eggs,,,,,,,
tropical fruit,whipped/sour cream,,,,,,,,,
soda,UHT-milk,pastry,domestic eggs,,,,,,,
UHT-milk,soda,,,,,,,,,
ham,onions,baking powder,,,,,,,,
ham,beef,bottled water,citrus fruit,dishes,,,,,,
other vegetables,other vegetables,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
misc. beverages,whipped/sour cream,pastry,,,,,,,,
cream cheese ,butter milk,,,,,,,,,
whole milk,soda,,,,,,,,,
beverages,pickled vegetables,,,,,,,,,
bottled water,domestic eggs,,,,,,,,,
coffee,root vegetables,bottled beer,,,,,,,,
other vegetables,whole milk,soda,,,,,,,,
rolls/buns,cake bar,,,,,,,,,
citrus fruit,coffee,,,,,,,,,
tropical fruit,detergent,,,,,,,,,
frankfurter,yogurt,,,,,,,,,
soda,frozen meals,bottled beer,,,,,,,,
whole milk,beef,,,,,,,,,
berries,whole milk,,,,,,,,,
sausage,packaged fruit/vegetables,,,,,,,,,
UHT-milk,condensed milk,pastry,,,,,,,,
citrus fruit,specialty chocolate,,,,,,,,,
hamburger meat,coffee,yogurt,,,,,,,,
rolls/buns,flour,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
pastry,whole milk,,,,,,,,,
cereals,dessert,,,,,,,,,
bottled beer,frozen meals,,,,,,,,,
sausage,whole milk,misc. beverages,specialty bar,soda,,,,,,
beef,other vegetables,,,,,,,,,
pip fruit,shopping bags,,,,,,,,,
soft cheese,coffee,,,,,,,,,
pip fruit,turkey,,,,,,,,,
whole milk,berries,,,,,,,,,
whole milk,coffee,,,,,,,,,
sausage,soda,bottled beer,yogurt,,,,,,,
whole milk,pork,,,,,,,,,
rolls/buns,processed cheese,,,,,,,,,
domestic eggs,butter milk,long life bakery product,,,,,,,,
frozen vegetables,berries,whole milk,candy,,,,,,,
butter,newspapers,,,,,,,,,
ice cream,onions,,,,,,,,,
pastry,fruit/vegetable juice,,,,,,,,,
sausage,frozen meals,,,,,,,,,
shopping bags,margarine,,,,,,,,,
chewing gum,bottled water,,,,,,,,,
brown bread,bottled water,domestic eggs,,,,,,,,
whole milk,tropical fruit,other vegetables,yogurt,domestic eggs,,,,,,
photo/film,whole milk,,,,,,,,,
sausage,pot plants,,,,,,,,,
rolls/buns,rolls/buns,soft cheese,,,,,,,,
citrus fruit,baking powder,,,,,,,,,
margarine,waffles,,,,,,,,,
misc. beverages,other vegetables,brown bread,,,,,,,,
rolls/buns,domestic eggs,,,,,,,,,
frankfurter,ice cream,,,,,,,,,
chicken,curd,,,,,,,,,
liquor,vinegar,,,,,,,,,
rolls/buns,bottled water,vinegar,,,,,,,,
brown bread,pasta,,,,,,,,,
pip fruit,onions,,,,,,,,,
root vegetables,salty snack,,,,,,,,,
liver loaf,citrus fruit,,,,,,,,,
white wine,tropical fruit,,,,,,,,,
coffee,misc. beverages,,,,,,,,,
cream cheese ,baking powder,,,,,,,,,
sausage,pork,sugar,,,,,,,,
dishes,chewing gum,,,,,,,,,
cream cheese ,bottled water,rolls/buns,,,,,,,,
root vegetables,coffee,,,,,,,,,
turkey,canned beer,abrasive cleaner,,,,,,,,
pastry,long life bakery product,sliced cheese,yogurt,,,,,,,
hard cheese,yogurt,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
soda,bottled water,,,,,,,,,
brown bread,butter milk,canned vegetables,soda,,,,,,,
canned beer,whole milk,soda,,,,,,,,
yogurt,other vegetables,,,,,,,,,
curd,whole milk,pet care,,,,,,,,
long life bakery product,rolls/buns,,,,,,,,,
berries,grapes,other vegetables,,,,,,,,
meat,whipped/sour cream,,,,,,,,,
beef,sliced cheese,,,,,,,,,
soda,cream cheese ,,,,,,,,,
rolls/buns,specialty chocolate,,,,,,,,,
misc. beverages,hard cheese,herbs,sugar,,,,,,,
ice cream,sliced cheese,,,,,,,,,
bottled beer,shopping bags,,,,,,,,,
whole milk,root vegetables,newspapers,,,,,,,,
soda,instant coffee,,,,,,,,,
other vegetables,photo/film,,,,,,,,,
soda,cling film/bags,,,,,,,,,
other vegetables,other vegetables,waffles,,,,,,,,
canned beer,newspapers,,,,,,,,,
pip fruit,brown bread,,,,,,,,,
curd,meat,yogurt,whipped/sour cream,,,,,,,
whole milk,long life bakery product,,,,,,,,,
pastry,whole milk,,,,,,,,,
beef,frankfurter,root vegetables,specialty fat,domestic eggs,,,,,,
frankfurter,whole milk,,,,,,,,,
sausage,long life bakery product,,,,,,,,,
meat,whole milk,whipped/sour cream,,,,,,,,
rolls/buns,pet care,,,,,,,,,
butter,canned beer,,,,,,,,,
domestic eggs,pasta,,,,,,,,,
dessert,cream cheese ,waffles,,,,,,,,
turkey,cream cheese ,,,,,,,,,
other vegetables,butter milk,chewing gum,specialty chocolate,,,,,,,
dessert,beverages,,,,,,,,,
whole milk,sausage,bottled beer,yogurt,,,,,,,
soda,other vegetables,,,,,,,,,
rolls/buns,curd cheese,Instant food products,,,,,,,,
sausage,yogurt,,,,,,,,,
frozen vegetables,other vegetables,,,,,,,,,
pastry,curd,,,,,,,,,
meat,coffee,,,,,,,,,
sausage,pork,butter,whole milk,fruit/vegetable juice,,,,,,
rolls/buns,mayonnaise,,,,,,,,,
condensed milk,onions,coffee,candy,,,,,,,
mayonnaise,domestic eggs,,,,,,,,,
root vegetables,whole milk,,,,,,,,,
onions,whipped/sour cream,,,,,,,,,
whole milk,chocolate,rolls/buns,brown bread,,,,,,,
sausage,other vegetables,,,,,,,,,
shopping bags,fruit/vegetable juice,,,,,,,,,
whole milk,soda,,,,,,,,,
chicken,grapes,pot plants,curd cheese,coffee,napkins,,,,,
dog food,canned beer,,,,,,,,,
onions,pastry,shopping bags,,,,,,,,
berries,hygiene articles,,,,,,,,,
UHT-milk,roll products ,salt,,,,,,,,
bottled water,ham,brown bread,yogurt,,,,,,,
meat,whole milk,,,,,,,,,
UHT-milk,shopping bags,,,,,,,,,
soda,canned beer,citrus fruit,frozen meals,,,,,,,
hamburger meat,root vegetables,seasonal products,shopping bags,,,,,,,
butter,citrus fruit,brown bread,pork,shopping bags,hygiene articles,dessert,whole milk,,,
ham,white wine,shopping bags,,,,,,,,
pip fruit,coffee,whole milk,pastry,seasonal products,,,,,,
butter milk,yogurt,yogurt,margarine,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
pot plants,soda,hygiene articles,,,,,,,,
mayonnaise,instant coffee,,,,,,,,,
bottled water,newspapers,specialty bar,bottled water,,,,,,,
condensed milk,whole milk,,,,,,,,,
pork,bottled water,,,,,,,,,
finished products,whipped/sour cream,,,,,,,,,
flour,ready soups,,,,,,,,,
citrus fruit,pip fruit,,,,,,,,,
chicken,napkins,other vegetables,newspapers,,,,,,,
soda,whole milk,soda,specialty bar,bottled water,,,,,,
citrus fruit,bottled water,butter milk,chocolate,zwieback,shopping bags,,,,,
nut snack,canned beer,,,,,,,,,
frankfurter,canned beer,,,,,,,,,
sausage,rolls/buns,rolls/buns,rolls/buns,,,,,,,
softener,yogurt,cling film/bags,,,,,,,,
rolls/buns,margarine,,,,,,,,,
other vegetables,citrus fruit,whole milk,frankfurter,zwieback,other vegetables,domestic eggs,brown bread,sugar,,
long life bakery product,napkins,,,,,,,,,
UHT-milk,coffee,yogurt,,,,,,,,
whole milk,berries,,,,,,,,,
curd,margarine,,,,,,,,,
baking powder,canned beer,specialty chocolate,,,,,,,,
fruit/vegetable juice,fruit/vegetable juice,,,,,,,,,
soda,other vegetables,,,,,,,,,
whole milk,roll products ,,,,,,,,,
sausage,UHT-milk,female sanitary products,rolls/buns,,,,,,,
waffles,pudding powder,,,,,,,,,
sparkling wine,root vegetables,,,,,,,,,
whole milk,soft cheese,frozen vegetables,,,,,,,,
sugar,shopping bags,,,,,,,,,
root vegetables,liquor,,,,,,,,,
whole milk,yogurt,oil,,,,,,,,
whole milk,domestic eggs,,,,,,,,,
shopping bags,other vegetables,,,,,,,,,
specialty fat,red/blush wine,,,,,,,,,
beef,ice cream,,,,,,,,,
pastry,grapes,,,,,,,,,
nuts/prunes,brown bread,newspapers,,,,,,,,
salty snack,shopping bags,,,,,,,,,
pip fruit,citrus fruit,,,,,,,,,
fish,root vegetables,chocolate,,,,,,,,
tropical fruit,specialty bar,,,,,,,,,
rolls/buns,chocolate,,,,,,,,,
onions,white wine,,,,,,,,,
chicken,margarine,waffles,,,,,,,,
beef,sugar,root vegetables,frozen vegetables,,,,,,,
ham,canned beer,,,,,,,,,
whole milk,yogurt,,,,,,,,,
whole milk,onions,,,,,,,,,
frankfurter,processed cheese,,,,,,,,,
whole milk,cleaner,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
hamburger meat,chewing gum,,,,,,,,,
sausage,yogurt,,,,,,,,,
bottled water,UHT-milk,,,,,,,,,
root vegetables,specialty chocolate,whisky,,,,,,,,
pork,root vegetables,rolls/buns,,,,,,,,
frankfurter,soda,whole milk,whole milk,flour,,,,,,
red/blush wine,frozen fish,,,,,,,,,
canned beer,misc. beverages,yogurt,rolls/buns,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
citrus fruit,oil,whole milk,,,,,,,,
pip fruit,UHT-milk,,,,,,,,,
pet care,brown bread,pastry,dish cleaner,,,,,,,
tropical fruit,whole milk,vinegar,,,,,,,,
white wine,specialty bar,,,,,,,,,
candy,specialty fat,,,,,,,,,
chicken,tropical fruit,,,,,,,,,
white wine,ice cream,,,,,,,,,
soda,meat,,,,,,,,,
other vegetables,newspapers,,,,,,,,,
chocolate,mustard,rolls/buns,,,,,,,,
long life bakery product,hard cheese,,,,,,,,,
pork,frozen meals,,,,,,,,,
other vegetables,tropical fruit,white bread,specialty chocolate,pot plants,shopping bags,,,,,
salad dressing,hard cheese,,,,,,,,,
root vegetables,hard cheese,pastry,,,,,,,,
butter,waffles,,,,,,,,,
citrus fruit,fruit/vegetable juice,,,,,,,,,
beef,root vegetables,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
herbs,yogurt,misc. beverages,,,,,,,,
coffee,cling film/bags,,,,,,,,,
sugar,waffles,soda,organic products,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
root vegetables,white bread,,,,,,,,,
canned beer,tropical fruit,root vegetables,other vegetables,,,,,,,
long life bakery product,butter,,,,,,,,,
tropical fruit,citrus fruit,male cosmetics,,,,,,,,
yogurt,canned beer,,,,,,,,,
bottled beer,whole milk,,,,,,,,,
butter,specialty chocolate,,,,,,,,,
onions,specialty bar,,,,,,,,,
soda,whole milk,,,,,,,,,
sugar,butter,,,,,,,,,
long life bakery product,rolls/buns,,,,,,,,,
pork,waffles,tropical fruit,pork,canned beer,whipped/sour cream,newspapers,cream cheese ,,,
bottled beer,whole milk,,,,,,,,,
whole milk,napkins,,,,,,,,,
root vegetables,bottled water,whipped/sour cream,,,,,,,,
other vegetables,newspapers,,,,,,,,,
whole milk,sausage,,,,,,,,,
citrus fruit,flower (seeds),,,,,,,,,
tropical fruit,UHT-milk,,,,,,,,,
tropical fruit,soda,oil,,,,,,,,
soda,other vegetables,frozen vegetables,,,,,,,,
curd cheese,pastry,,,,,,,,,
salt,soda,rolls/buns,,,,,,,,
butter,waffles,,,,,,,,,
root vegetables,oil,soda,,,,,,,,
yogurt,detergent,,,,,,,,,
ice cream,dog food,,,,,,,,,
tropical fruit,bottled beer,UHT-milk,root vegetables,,,,,,,
soda,pip fruit,,,,,,,,,
onions,canned fish,,,,,,,,,
onions,flour,whipped/sour cream,,,,,,,,
ham,berries,,,,,,,,,
sausage,citrus fruit,red/blush wine,frozen vegetables,cream,,,,,,
chicken,other vegetables,bathroom cleaner,chicken,grapes,fruit/vegetable juice,fruit/vegetable juice,soda,,,
specialty chocolate,soda,,,,,,,,,
UHT-milk,cream cheese ,,,,,,,,,
soda,red/blush wine,,,,,,,,,
candles,canned beer,,,,,,,,,
sausage,bottled water,,,,,,,,,
sausage,curd,fruit/vegetable juice,,,,,,,,
cream cheese ,citrus fruit,sauces,red/blush wine,,,,,,,
long life bakery product,long life bakery product,whipped/sour cream,soda,,,,,,,
frankfurter,instant coffee,root vegetables,coffee,instant coffee,sugar,rolls/buns,,,,
whole milk,whole milk,,,,,,,,,
whole milk,whole milk,,,,,,,,,
pork,yogurt,,,,,,,,,
yogurt,coffee,,,,,,,,,
pip fruit,chocolate,,,,,,,,,
sausage,pastry,ice cream,,,,,,,,
brown bread,beef,bottled beer,specialty fat,,,,,,,
specialty chocolate,rolls/buns,,,,,,,,,
whipped/sour cream,whole milk,oil,,,,,,,,
butter,coffee,soda,pastry,,,,,,,
pork,bottled water,pastry,,,,,,,,
onions,specialty cheese,canned fish,,,,,,,,
root vegetables,white wine,,,,,,,,,
canned beer,other vegetables,,,,,,,,,
pip fruit,bottled beer,,,,,,,,,
whole milk,chocolate,,,,,,,,,
dessert,rolls/buns,,,,,,,,,
frozen meals,dental care,,,,,,,,,
tropical fruit,napkins,whole milk,,,,,,,,
sausage,liquor (appetizer),,,,,,,,,
pastry,liquor,,,,,,,,,
sliced cheese,napkins,,,,,,,,,
canned beer,yogurt,cream cheese ,,,,,,,,
other vegetables,salty snack,,,,,,,,,
white wine,bottled water,,,,,,,,,
pork,coffee,margarine,,,,,,,,
white bread,other vegetables,,,,,,,,,
beverages,soda,,,,,,,,,
whole milk,butter,,,,,,,,,
dish cleaner,whole milk,canned fish,,,,,,,,
citrus fruit,domestic eggs,bottled water,,,,,,,,
margarine,margarine,,,,,,,,,
other vegetables,waffles,,,,,,,,,
ice cream,UHT-milk,,,,,,,,,
berries,whipped/sour cream,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
bottled beer,bottled water,,,,,,,,,
rolls/buns,candy,,,,,,,,,
beef,frozen vegetables,,,,,,,,,
ham,mayonnaise,,,,,,,,,
tropical fruit,berries,other vegetables,yogurt,kitchen towels,napkins,,,,,
specialty chocolate,liquor,,,,,,,,,
canned beer,bottled beer,,,,,,,,,
pastry,rolls/buns,,,,,,,,,
pip fruit,rolls/buns,yogurt,,,,,,,,
root vegetables,zwieback,,,,,,,,,
root vegetables,yogurt,,,,,,,,,
whole milk,cream cheese ,,,,,,,,,
soda,soda,,,,,,,,,
whole milk,citrus fruit,,,,,,,,,
canned beer,butter,,,,,,,,,
meat,oil,,,,,,,,,
meat,other vegetables,pasta,,,,,,,,
tropical fruit,newspapers,bottled water,,,,,,,,
tropical fruit,canned beer,,,,,,,,,
artif. sweetener,herbs,,,,,,,,,
semi-finished bread,tropical fruit,,,,,,,,,
onions,pastry,,,,,,,,,
sausage,pastry,,,,,,,,,
soda,tropical fruit,,,,,,,,,
frankfurter,rolls/buns,,,,,,,,,
pastry,newspapers,,,,,,,,,
root vegetables,tropical fruit,,,,,,,,,
citrus fruit,canned beer,,,,,,,,,
frankfurter,soda,whipped/sour cream,,,,,,,,
ham,napkins,,,,,,,,,
pork,coffee,frozen vegetables,,,,,,,,
beef,butter milk,,,,,,,,,
tropical fruit,grapes,,,,,,,,,
tropical fruit,cream cheese ,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
root vegetables,whole milk,,,,,,,,,
meat,pastry,,,,,,,,,
ice cream,napkins,,,,,,,,,
pip fruit,frozen potato products,,,,,,,,,
semi-finished bread,waffles,,,,,,,,,
other vegetables,bottled beer,,,,,,,,,
other vegetables,beef,yogurt,,,,,,,,
beef,root vegetables,frozen potato products,butter,newspapers,,,,,,
tropical fruit,pip fruit,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
soda,berries,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
sausage,butter,bottled water,,,,,,,,
chocolate,rolls/buns,,,,,,,,,
root vegetables,pastry,,,,,,,,,
beef,mustard,,,,,,,,,
ham,specialty bar,,,,,,,,,
pork,tropical fruit,,,,,,,,,
pork,brown bread,,,,,,,,,
pastry,other vegetables,,,,,,,,,
meat,pip fruit,,,,,,,,,
beverages,rice,,,,,,,,,
salty snack,chocolate marshmallow,,,,,,,,,
frankfurter,packaged fruit/vegetables,,,,,,,,,
hard cheese,waffles,misc. beverages,,,,,,,,
other vegetables,pastry,,,,,,,,,
tea,coffee,,,,,,,,,
bottled beer,brown bread,whole milk,misc. beverages,,,,,,,
citrus fruit,whole milk,white bread,cat food,brown bread,bottled beer,,,,,
curd,bottled beer,,,,,,,,,
root vegetables,whole milk,,,,,,,,,
rolls/buns,packaged fruit/vegetables,,,,,,,,,
frankfurter,curd,,,,,,,,,
other vegetables,canned beer,,,,,,,,,
bottled beer,whole milk,,,,,,,,,
whisky,shopping bags,rum,,,,,,,,
bottled beer,white bread,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
sausage,white wine,hygiene articles,,,,,,,,
frankfurter,brandy,,,,,,,,,
pip fruit,mustard,whole milk,,,,,,,,
soda,dishes,,,,,,,,,
canned beer,rolls/buns,softener,,,,,,,,
canned beer,napkins,,,,,,,,,
whole milk,butter,soda,fruit/vegetable juice,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
rolls/buns,soda,,,,,,,,,
whole milk,butter,,,,,,,,,
whole milk,specialty chocolate,,,,,,,,,
soda,frozen vegetables,cream cheese ,,,,,,,,
rolls/buns,frozen vegetables,,,,,,,,,
rolls/buns,other vegetables,soda,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
other vegetables,spread cheese,,,,,,,,,
soda,butter,other vegetables,margarine,,,,,,,
root vegetables,flour,female sanitary products,packaged fruit/vegetables,brown bread,rolls/buns,rolls/buns,sauces,,,
organic products,root vegetables,,,,,,,,,
rolls/buns,domestic eggs,ice cream,pot plants,,,,,,,
hygiene articles,brown bread,,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
packaged fruit/vegetables,frozen fish,,,,,,,,,
citrus fruit,soda,,,,,,,,,
beef,tropical fruit,,,,,,,,,
white bread,flour,,,,,,,,,
soda,bottled beer,,,,,,,,,
sausage,bottled water,,,,,,,,,
cream cheese ,rolls/buns,,,,,,,,,
whole milk,bathroom cleaner,,,,,,,,,
photo/film,onions,,,,,,,,,
turkey,chocolate,,,,,,,,,
butter,margarine,,,,,,,,,
frankfurter,hamburger meat,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
whole milk,grapes,,,,,,,,,
margarine,chocolate,,,,,,,,,
soda,mustard,,,,,,,,,
shopping bags,rice,,,,,,,,,
pork,root vegetables,root vegetables,curd,canned vegetables,cream cheese ,fruit/vegetable juice,nut snack,,,
pip fruit,processed cheese,canned beer,,,,,,,,
soda,root vegetables,,,,,,,,,
ham,dessert,,,,,,,,,
pork,other vegetables,,,,,,,,,
pip fruit,whole milk,,,,,,,,,
finished products,bottled water,cling film/bags,,,,,,,,
pickled vegetables,other vegetables,,,,,,,,,
pork,rolls/buns,,,,,,,,,
frankfurter,whole milk,margarine,,,,,,,,
yogurt,pet care,,,,,,,,,
whole milk,newspapers,soda,whipped/sour cream,,,,,,,
sausage,whole milk,prosecco,honey,other vegetables,waffles,shopping bags,artif. sweetener,,,
rolls/buns,bottled beer,,,,,,,,,
whole milk,whole milk,,,,,,,,,
oil,onions,,,,,,,,,
mayonnaise,pastry,,,,,,,,,
berries,specialty cheese,,,,,,,,,
soft cheese,rolls/buns,detergent,,,,,,,,
tropical fruit,sugar,,,,,,,,,
white bread,whole milk,pastry,shopping bags,,,,,,,
ice cream,hamburger meat,shopping bags,whole milk,soft cheese,,,,,,
whole milk,sausage,pastry,spices,soda,,,,,,
pip fruit,dessert,sauces,,,,,,,,
whole milk,brandy,,,,,,,,,
chocolate,other vegetables,,,,,,,,,
pork,rolls/buns,,,,,,,,,
whole milk,whipped/sour cream,domestic eggs,house keeping products,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
tropical fruit,soda,UHT-milk,,,,,,,,
other vegetables,pastry,,,,,,,,,
pot plants,packaged fruit/vegetables,butter,rolls/buns,,,,,,,
other vegetables,soda,,,,,,,,,
hygiene articles,seasonal products,,,,,,,,,
frankfurter,sausage,yogurt,soda,coffee,,,,,,
bottled beer,canned vegetables,,,,,,,,,
pork,bottled beer,butter,,,,,,,,
vinegar,whole milk,,,,,,,,,
yogurt,soda,,,,,,,,,
finished products,whole milk,,,,,,,,,
pork,curd,,,,,,,,,
frozen meals,canned vegetables,,,,,,,,,
frozen fruits,pot plants,,,,,,,,,
pastry,chewing gum,,,,,,,,,
beef,bottled beer,herbs,,,,,,,,
newspapers,beverages,beef,chocolate,kitchen towels,,,,,,
bottled beer,yogurt,other vegetables,,,,,,,,
UHT-milk,salty snack,,,,,,,,,
specialty chocolate,soda,bathroom cleaner,,,,,,,,
frankfurter,napkins,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
hamburger meat,white wine,,,,,,,,,
citrus fruit,ice cream,butter,shopping bags,,,,,,,
dish cleaner,whole milk,flower (seeds),flour,chewing gum,dog food,,,,,
bottled water,cream cheese ,bottled beer,,,,,,,,
bottled beer,beverages,,,,,,,,,
curd,sliced cheese,frozen fish,,,,,,,,
dessert,sliced cheese,bottled beer,other vegetables,,,,,,,
sausage,other vegetables,frankfurter,coffee,pastry,bottled water,soda,whole milk,,,
other vegetables,citrus fruit,rolls/buns,,,,,,,,
ham,yogurt,,,,,,,,,
pip fruit,cake bar,,,,,,,,,
cereals,sugar,,,,,,,,,
canned beer,herbs,,,,,,,,,
soda,fruit/vegetable juice,,,,,,,,,
oil,misc. beverages,candy,yogurt,,,,,,,
whole milk,newspapers,,,,,,,,,
white bread,brown bread,,,,,,,,,
canned beer,detergent,cake bar,,,,,,,,
newspapers,domestic eggs,,,,,,,,,
cling film/bags,napkins,,,,,,,,,
canned beer,cookware,,,,,,,,,
whole milk,liquor (appetizer),,,,,,,,,
pastry,whole milk,dessert,,,,,,,,
bottled water,domestic eggs,,,,,,,,,
sausage,beef,,,,,,,,,
beverages,specialty bar,,,,,,,,,
canned beer,whole milk,,,,,,,,,
beef,bottled water,,,,,,,,,
dish cleaner,shopping bags,,,,,,,,,
UHT-milk,other vegetables,,,,,,,,,
root vegetables,root vegetables,root vegetables,pastry,,,,,,,
tea,light bulbs,,,,,,,,,
pork,grapes,,,,,,,,,
ham,other vegetables,,,,,,,,,
whipped/sour cream,other vegetables,,,,,,,,,
packaged fruit/vegetables,pip fruit,,,,,,,,,
photo/film,pork,liquor,,,,,,,,
frozen vegetables,frozen vegetables,,,,,,,,,
citrus fruit,white wine,,,,,,,,,
brown bread,brown bread,,,,,,,,,
grapes,coffee,,,,,,,,,
dessert,meat,,,,,,,,,
canned fish,cocoa drinks,,,,,,,,,
soda,yogurt,,,,,,,,,
pork,red/blush wine,,,,,,,,,
butter,frozen meals,,,,,,,,,
specialty chocolate,root vegetables,,,,,,,,,
chocolate marshmallow,brown bread,,,,,,,,,
yogurt,coffee,coffee,,,,,,,,
margarine,beverages,,,,,,,,,
meat,beef,curd,,,,,,,,
yogurt,sugar,margarine,,,,,,,,
pastry,napkins,pastry,,,,,,,,
bottled water,yogurt,newspapers,soda,,,,,,,
sausage,spread cheese,bottled water,,,,,,,,
tropical fruit,coffee,,,,,,,,,
pasta,pot plants,liquor,,,,,,,,
root vegetables,processed cheese,,,,,,,,,
bottled water,ice cream,,,,,,,,,
onions,candy,,,,,,,,,
sausage,newspapers,,,,,,,,,
white wine,soda,,,,,,,,,
soda,frozen vegetables,,,,,,,,,
canned beer,tropical fruit,,,,,,,,,
bottled beer,ice cream,salty snack,,,,,,,,
whole milk,fruit/vegetable juice,,,,,,,,,
frozen vegetables,butter,,,,,,,,,
curd cheese,canned beer,,,,,,,,,
ham,beef,sliced cheese,butter milk,,,,,,,
root vegetables,pip fruit,coffee,,,,,,,,
ice cream,dishes,,,,,,,,,
specialty bar,other vegetables,misc. beverages,,,,,,,,
beef,cream cheese ,,,,,,,,,
whole milk,canned beer,,,,,,,,,
hard cheese,liquor,,,,,,,,,
frankfurter,canned beer,,,,,,,,,
turkey,grapes,soda,,,,,,,,
